Date,AAPL,BOGUS,TSLA
2022-12-05 00:00:00,145.8149871826172,,182.4499969482422
2022-12-06 00:00:00,142.11563110351562,,179.82000732421875
2022-12-07 00:00:00,140.15660095214844,,174.0399932861328
2022-12-08 00:00:00,141.85708618164062,,173.44000244140625
2022-12-09 00:00:00,141.36981201171875,,179.0500030517578
2022-12-12 00:00:00,143.68685913085938,,167.82000732421875
2022-12-13 00:00:00,144.6614227294922,,160.9499969482422
2022-12-14 00:00:00,142.4139862060547,,156.8000030517578
2022-12-15 00:00:00,135.74127197265625,,157.6699981689453
2022-12-16 00:00:00,133.7623291015625,,150.22999572753906
2022-12-19 00:00:00,131.6342315673828,,149.8699951171875
2022-12-20 00:00:00,131.56463623046875,,137.8000030517578
2022-12-21 00:00:00,134.69712829589844,,137.57000732421875
2022-12-22 00:00:00,131.4949951171875,,125.3499984741211
2022-12-23 00:00:00,131.12705993652344,,123.1500015258789
2022-12-27 00:00:00,129.30723571777344,,109.0999984741211
2022-12-28 00:00:00,125.33941650390625,,112.70999908447266
2022-12-29 00:00:00,128.8895721435547,,121.81999969482422
2022-12-30 00:00:00,129.20777893066406,,123.18000030517578
2023-01-03 00:00:00,124.37480163574219,,108.0999984741211
2023-01-04 00:00:00,125.65763854980469,,113.63999938964844
2023-01-05 00:00:00,124.32508850097656,,110.33999633789062
2023-01-06 00:00:00,128.89952087402344,,113.05999755859375
2023-01-09 00:00:00,129.4265594482422,,119.7699966430664
2023-01-10 00:00:00,130.0033416748047,,118.8499984741211
2023-01-11 00:00:00,132.74801635742188,,123.22000122070312
2023-01-12 00:00:00,132.66844177246094,,123.55999755859375
2023-01-13 00:00:00,134.01092529296875,,122.4000015258789
2023-01-17 00:00:00,135.18438720703125,,131.49000549316406
2023-01-18 00:00:00,134.4584503173828,,128.77999877929688
2023-01-19 00:00:00,134.5181121826172,,127.16999816894531
2023-01-20 00:00:00,137.10366821289062,,133.4199981689453
2023-01-23 00:00:00,140.3256378173828,,143.75
2023-01-24 00:00:00,141.7377471923828,,143.88999938964844
2023-01-25 00:00:00,141.07147216796875,,144.42999267578125
2023-01-26 00:00:00,143.15982055664062,,160.27000427246094
2023-01-27 00:00:00,145.11883544921875,,177.89999389648438
2023-01-30 00:00:00,142.20513916015625,,166.66000366210938
2023-01-31 00:00:00,143.48797607421875,,173.22000122070312
2023-02-01 00:00:00,144.62161254882812,,181.41000366210938
2023-02-02 00:00:00,149.98167419433594,,188.27000427246094
2023-02-03 00:00:00,153.64120483398438,,189.97999572753906
2023-02-06 00:00:00,150.88661193847656,,194.75999450683594
2023-02-07 00:00:00,153.79039001464844,,196.80999755859375
2023-02-08 00:00:00,151.07557678222656,,201.2899932861328
2023-02-09 00:00:00,150.03138732910156,,207.32000732421875
2023-02-10 00:00:00,150.39990234375,,196.88999938964844
2023-02-13 00:00:00,153.2284393310547,,194.63999938964844
2023-02-14 00:00:00,152.5810546875,,209.25
2023-02-15 00:00:00,154.70245361328125,,214.24000549316406
2023-02-16 00:00:00,153.08900451660156,,202.0399932861328
2023-02-17 00:00:00,151.93368530273438,,208.30999755859375
2023-02-21 00:00:00,147.880126953125,,197.3699951171875
2023-02-22 00:00:00,148.3083953857422,,200.86000061035156
2023-02-23 00:00:00,148.79641723632812,,202.07000732421875
2023-02-24 00:00:00,146.11727905273438,,196.8800048828125
2023-02-27 00:00:00,147.3223876953125,,207.6300048828125
2023-02-28 00:00:00,146.814453125,,205.7100067138672
2023-03-01 00:00:00,144.72293090820312,,202.77000427246094
2023-03-02 00:00:00,145.3205108642578,,190.89999389648438
2023-03-03 00:00:00,150.41981506347656,,197.7899932861328
2023-03-06 00:00:00,153.20851135253906,,193.80999755859375
2023-03-07 00:00:00,150.98753356933594,,187.7100067138672
2023-03-08 00:00:00,152.2523956298828,,182.0
2023-03-09 00:00:00,149.98159790039062,,172.9199981689453
2023-03-10 00:00:00,147.90003967285156,,173.44000244140625
2023-03-13 00:00:00,149.86207580566406,,174.47999572753906
2023-03-14 00:00:00,151.97352600097656,,183.25999450683594
2023-03-15 00:00:00,152.3719024658203,,180.4499969482422
2023-03-16 00:00:00,155.22035217285156,,184.1300048828125
2023-03-17 00:00:00,154.373779296875,,180.1300048828125
2023-03-20 00:00:00,156.76409912109375,,183.25
2023-03-21 00:00:00,158.63648986816406,,197.5800018310547
2023-03-22 00:00:00,157.19236755371094,,191.14999389648438
2023-03-23 00:00:00,158.28790283203125,,192.22000122070312
2023-03-24 00:00:00,159.60256958007812,,190.41000366210938
2023-03-27 00:00:00,157.64053344726562,,191.80999755859375
2023-03-28 00:00:00,157.01307678222656,,189.19000244140625
2023-03-29 00:00:00,160.12049865722656,,193.8800048828125
2023-03-30 00:00:00,161.7040557861328,,195.27999877929688
2023-03-31 00:00:00,164.23379516601562,,207.4600067138672
2023-04-03 00:00:00,165.49867248535156,,194.77000427246094
2023-04-04 00:00:00,164.96084594726562,,192.5800018310547
2023-04-05 00:00:00,163.098388671875,,185.52000427246094
2023-04-06 00:00:00,163.99476623535156,,185.05999755859375
2023-04-10 00:00:00,161.37538146972656,,184.50999450683594
2023-04-11 00:00:00,160.15036010742188,,186.7899932861328
2023-04-12 00:00:00,159.45318603515625,,180.5399932861328
2023-04-13 00:00:00,164.89111328125,,185.89999389648438
2023-04-14 00:00:00,164.54254150390625,,185.0
2023-04-17 00:00:00,164.5624542236328,,187.0399932861328
2023-04-18 00:00:00,165.79745483398438,,184.30999755859375
2023-04-19 00:00:00,166.95277404785156,,180.58999633789062
