Date,AAPL,BOGUS,TSLA
2023-05-31 00:00:00,63.4338,,78.8235
2023-06-01 00:00:00,73.7673,,86.1162
2023-06-02 00:00:00,77.4412,,89.9765
2023-06-05 00:00:00,71.3959,,90.5283
2023-06-06 00:00:00,68.8439,,89.9478
2023-06-07 00:00:00,58.4813,,89.9866
2023-06-08 00:00:00,64.2593,,91.0441
2023-06-09 00:00:00,68.3696,,91.1516
2023-06-12 00:00:00,82.894,,95.8882
2023-06-13 00:00:00,80.5216,,100
2023-06-14 00:00:00,79.9782,,97.479
2023-06-15 00:00:00,79.5531,,95.8888
2023-06-16 00:00:00,72.2547,,95.6769
2023-06-20 00:00:00,72.6108,,96.3094
2023-06-21 00:00:00,62.5896,,79.6664
2023-06-22 00:00:00,67.2366,,79.3599
2023-06-23 00:00:00,71.5152,,71.5153
2023-06-26 00:00:00,67.2749,,59.633
2023-06-27 00:00:00,77.0328,,61.8309
2023-06-28 00:00:00,74.9713,,60.269
2023-06-29 00:00:00,74.8991,,56.8357
2023-06-30 00:00:00,76.9599,,56.3068
2023-07-03 00:00:00,72.9784,,60.1657
2023-07-05 00:00:00,68.0882,,62.2836
2023-07-06 00:00:00,65.4092,,59.4143
2023-07-07 00:00:00,65.2704,,56.4852
2023-07-10 00:00:00,58.6373,,47.5306
2023-07-11 00:00:00,60.1378,,56.2087
2023-07-12 00:00:00,57.301,,54.5987
2023-07-13 00:00:00,59.9382,,63.6294
2023-07-14 00:00:00,64.9229,,80.5206
2023-07-17 00:00:00,65.8811,,80.4733
2023-07-18 00:00:00,62.6268,,79.5194
2023-07-19 00:00:00,64.6777,,76.5159
2023-07-20 00:00:00,47.4327,,50.6439
2023-07-21 00:00:00,48.3791,,36.3599
2023-07-24 00:00:00,54.5165,,41.502
2023-07-25 00:00:00,55.6177,,42.6693
2023-07-26 00:00:00,62.0429,,43.3351
2023-07-27 00:00:00,65.2953,,41.2513
2023-07-28 00:00:00,72.5947,,48.1387
2023-07-31 00:00:00,70.7711,,47.4319
2023-08-01 00:00:00,65.6966,,40.5693
2023-08-02 00:00:00,54.9658,,35.2928
2023-08-03 00:00:00,41.7736,,32.5349
2023-08-04 00:00:00,27.4751,,28.4074
2023-08-07 00:00:00,20.8049,,28.3052
2023-08-08 00:00:00,25.1398,,39.868
2023-08-09 00:00:00,24.7521,,37.2223
2023-08-10 00:00:00,22.2598,,31.4339
2023-08-11 00:00:00,19.8222,,31.9796
2023-08-14 00:00:00,22.2082,,31.0116
2023-08-15 00:00:00,21.6134,,31.9186
2023-08-16 00:00:00,12.8866,,15.7037
2023-08-17 00:00:00,9.72578,,12.8754
2023-08-18 00:00:00,11.6524,,13.4189
2023-08-21 00:00:00,17.7082,,33.9519
2023-08-22 00:00:00,23.1718,,30.7386
2023-08-23 00:00:00,48.4557,,37.129
2023-08-24 00:00:00,44.8942,,34.8048
2023-08-25 00:00:00,47.9498,,42.8091
2023-08-28 00:00:00,54.8534,,47.5918
2023-08-29 00:00:00,61.9261,,56.95
2023-08-30 00:00:00,66.2921,,58.6082
2023-08-31 00:00:00,64.5956,,61.3003
2023-09-01 00:00:00,71.1518,,56.8991
2023-09-05 00:00:00,73.6576,,66.889
2023-09-06 00:00:00,63.9349,,68.2396
2023-09-07 00:00:00,54.1678,,70.8478
2023-09-08 00:00:00,53.241,,61.7079
2023-09-11 00:00:00,52.9674,,70.882
2023-09-12 00:00:00,43.1261,,65.4428
2023-09-13 00:00:00,46.6523,,71.4583
2023-09-14 00:00:00,45.4746,,70.2805
2023-09-15 00:00:00,41.6072,,68.9707
2023-09-18 00:00:00,39.7123,,54.7929
2023-09-19 00:00:00,34.3773,,55.618
2023-09-20 00:00:00,29.9157,,52.5576
2023-09-21 00:00:00,24.7808,,56.5191
2023-09-22 00:00:00,26.2655,,42.8624
2023-09-25 00:00:00,36.8198,,46.8746
2023-09-26 00:00:00,38.6548,,45.468
2023-09-27 00:00:00,34.8574,,45.1184
2023-09-28 00:00:00,32.4281,,28.3232
2023-09-29 00:00:00,38.4998,,35.7308
2023-10-02 00:00:00,48.9814,,33.029
2023-10-03 00:00:00,42.5446,,24.7216
2023-10-04 00:00:00,47.0563,,40.7288
2023-10-05 00:00:00,42.7898,,45.8721
2023-10-06 00:00:00,46.5199,,45.2324
2023-10-09 00:00:00,58.4869,,47.5487
2023-10-10 00:00:00,61.3428,,56.994
2023-10-11 00:00:00,62.3949,,69.5025
2023-10-12 00:00:00,61.6742,,62.2626
2023-10-13 00:00:00,69.6072,,56.5641
2023-10-16 00:00:00,75.6339,,62.7809
2023-10-17 00:00:00,68.4782,,58.9064
2023-10-18 00:00:00,62.671,,43.2534
2023-10-19 00:00:00,55.3073,,29.5705
2023-10-20 00:00:00,51.3841,,28.4448
2023-10-23 00:00:00,47.963,,12.5801
2023-10-24 00:00:00,45.2242,,18.4153
2023-10-25 00:00:00,28.9109,,16.8344
2023-10-26 00:00:00,16.1255,,15.5879
2023-10-27 00:00:00,22.6466,,12.9083
2023-10-30 00:00:00,25.2987,,11.4983
2023-10-31 00:00:00,23.5919,,15.6993
2023-11-01 00:00:00,37.8968,,22.1651
2023-11-02 00:00:00,47.5667,,30.6946
2023-11-03 00:00:00,48.9121,,31.0853
2023-11-06 00:00:00,56.9897,,35.5047
2023-11-07 00:00:00,62.0181,,51.6942
2023-11-08 00:00:00,70.0601,,59.54
2023-11-09 00:00:00,68.5895,,48.3866
2023-11-10 00:00:00,72.6856,,48.5684
2023-11-13 00:00:00,74.5763,,58.0333
2023-11-14 00:00:00,88.7986,,70.4695
2023-11-15 00:00:00,88.472,,71.8842
2023-11-16 00:00:00,88.3069,,72.5003
2023-11-17 00:00:00,88.0141,,71.5205
2023-11-20 00:00:00,87.2894,,70.1698
2023-11-21 00:00:00,81.7358,,66.9404
2023-11-22 00:00:00,85.9527,,59.8262
2023-11-24 00:00:00,78.1799,,61.0731
2023-11-27 00:00:00,74.0486,,59.8192
2023-11-28 00:00:00,73.3321,,65.126
2023-11-29 00:00:00,70.979,,73.7883
2023-11-30 00:00:00,63.1384,,67.8607
2023-12-01 00:00:00,74.3939,,61.9281
